Number,Common Name,Scientific Name,Count,Location,Date,LocID,SubID
205,Red-throated Loon,Gavia stellata,1,Governors Island (N.Y. County),27 Dec 2023,L555894,S157257724
204,Dunlin,Calidris alpina,1,Governors Island (N.Y. County),27 Dec 2023,L555894,S157257724
203,Ruddy Turnstone,Arenaria interpres,1,Randalls Island,23 Dec 2023,L1293732,S156929495
202,Lesser Scaup,Aythya affinis,1,Liberty Island/Statue of Liberty (NY County),21 Dec 2023,L2686238,S156824475
201,Greater Scaup,Aythya marila,2,Liberty Island/Statue of Liberty (NY County),21 Dec 2023,L2686238,S156824475
200,Purple Sandpiper,Calidris maritima,2,"Hudson River Park--Pier 26, TriBeCa (featuring a Tide Deck)",09 Dec 2023,L15858389,S156040529
199,Western Tanager,Piranga ludoviciana,1,"Morningside Park, Manhattan",09 Dec 2023,L1799559,S156028730
198,Dickcissel,Spiza americana,1,Bleecker Playground,09 Dec 2023,L3238741,S156043728
197,Ash-throated Flycatcher,Myiarchus cinerascens,1,Bleecker Playground,09 Dec 2023,L3238741,S156043728
196,American Tree Sparrow,Spizelloides arborea,1,Randalls Island,20 Nov 2023,L1293732,S154850657
195,Black-chinned Hummingbird,Archilochus alexandri,1,Randalls Island,18 Nov 2023,L1293732,S154699148
194,American Pipit,Anthus rubescens,1,Fort Washington Park--Dyckman St. Boat Marina,08 Nov 2023,L2984803,S154024230
193,Black Vulture,Coragyps atratus,5,Fort Washington Park--Dyckman St. Boat Marina,08 Nov 2023,L2984803,S154024230
192,Long-tailed Duck,Clangula hyemalis,2,Fort Washington Park--Dyckman St. Boat Marina,08 Nov 2023,L2984803,S154024230
191,Pine Siskin,Spinus pinus,10,Central Park,05 Nov 2023,L191106,S153803572
190,Monk Parakeet,Myiopsitta monachus,1,Fred Samuel Playground,04 Nov 2023,L27810116,S153738018
189,Eastern Bluebird,Sialia sialis,1,Central Park,02 Nov 2023,L191106,S153581617
188,Northern Pintail,Anas acuta,1,Central Park--Harlem Meer,13 Oct 2023,L278127,S152099294
187,Eastern Meadowlark,Sturnella magna,1,Randalls Island--NE fields and shoreline,13 Oct 2023,L1785381,S152076431
186,Clay-colored Sparrow,Spizella pallida,1,Central Park--North End (N of 97th St. Transverse),07 Oct 2023,L794140,S151643127
185,Orange-crowned Warbler,Leiothlypis celata,1,Central Park--North End (N of 97th St. Transverse),06 Oct 2023,L794140,S151546753
184,Nelson's Sparrow,Ammospiza nelsoni,1,Randalls Island,04 Oct 2023,L1293732,S151414080
183,Pectoral Sandpiper,Calidris melanotos,3,Randalls Island,26 Sep 2023,L1293732,S150835657
182,Semipalmated Plover,Charadrius semipalmatus,2,Randalls Island,26 Sep 2023,L1293732,S150835657
181,Forster's Tern,Sterna forsteri,2,Hudson River Greenway--Greenwich Village (W Houston-14th St.),24 Sep 2023,L1166504,S150666320
180,Greater Yellowlegs,Tringa melanoleuca,1,Randalls Island--saltmarsh at Little Hell Gate Inlet,21 Sep 2023,L1785361,S150408758
179,Marsh Wren,Cistothorus palustris,1,Central Park--North End (N of 97th St. Transverse),20 Sep 2023,L794140,S150339348
178,Mourning Warbler,Geothlypis philadelphia,1,Bryant Park (5th-6th Ave. btwn 40th-42nd St.),19 Sep 2023,L683555,S150302218
177,Sharp-shinned Hawk,Accipiter striatus,9,Central Park--Belvedere Castle,19 Sep 2023,L8288587,S150302143
176,Northern Harrier,Circus hudsonius,3,Central Park--Belvedere Castle,19 Sep 2023,L8288587,S150302143
175,Connecticut Warbler,Oporornis agilis,1,World Trade Center Memorial,18 Sep 2023,L4634298,S150233122
174,Merlin,Falco columbarius,1,Central Park--North End (N of 97th St. Transverse),16 Sep 2023,L794140,S150037857
173,Broad-winged Hawk,Buteo platypterus,5,Central Park--Belvedere Castle,15 Sep 2023,L8288587,S149969652
172,Bobolink,Dolichonyx oryzivorus,4,Governors Island (N.Y. County),12 Sep 2023,L555894,S149716408
